Batman vs Superman	batman vs superman 
Yes . Very nice of her .	ज़रूर . बहुत मस्त है . 
Nice touch when she said " her classmates are wonderful in their own way "	और अच्छी बात है , कहना सब लोग classmates से " wonderful in their own way . " 
I'd say that was very mature of her	मैं कहता हूँ कि बहुत mature होती है . 
I agree . I love that she's promoting acceptance and tolerance .	मैं सहमत हूँ . i love that who acceptance and tolerance promote करती है 
It's a nice way to end the film .	वह film पूरा करने के लिए nice way है 
I think we're done !	मैं सोचता हूँ कि हमने कर दिया ! 
Yes ! thanks ! it was nice talking to you	है ! धन्यवाद ! आपसे बात करके अच्छा लगा 
HI there ! Have you ever seen this ?	HI there ! क्या तुमने यह देखी है ? 
Hey ! Yeah I have but it was a LONG time ago	Hey ! हाँ मैंने देखी है पर काफी पहले 
what about you	what about you 
It was a long time ago for me too , but I remember because all the dark knight movies came out afterwards	यह मेरे लिए भी काफी पहले था , लेकिन मुझे याद है क्योंकि dark knight movies उसके बाद आई थी 
though they took forever to make those ones ... or at least waited forever	मुझे लगा उसे बनाने में they took forever .. या फिर waited forever 
I personally liked the dark knight movies way more	मुझे personally dark knight movies बेहतर लगी 
especially the first one	खासकर पहले वाली 
yeah , they didnt do a very good job of connecting the storylines	हां , उन्होंने storyline connect करने का काम सही से नहीं किया 
and christian bale wasnt my fav batman either	और christian bale भी मेरे favourite batman नहीं था 
i don't think too many people like him as batman honestly	honestly मुझे नहीं लगता ज्यादा लोग उसे एस batman like करते हैं 
The voice he made was almost comical	जो voice उसने निकली वो काफी comical थी 
the best part is he tried so hard on that voice too	best part है कि उसने काफी hard try किया उस voice पे 
hahaha I know	hahaha नूजे पाता है 
but i cant talk too much because i always get flack for like ben affleck	पर मैं ज्यादा बात नहीं करता क्योंकि मुझे बेन affleck को ज्यादा like करने के लिए flak मिलती है 
liking *	liking * 
affleck > bale	affleck > bale 
YAS someone agrees haha	YAS किसी ने तो agree किया 
what about tom hardy in the new ones ?	नई वालों में tom hardy के बारे में क्या ख़याल है 
I'd say he did better than both of them	मैं कहूँगा उसने उन दोनों से अच्छा किया 
I agree ! ! !	I agree ! ! ! 
its been years but i still can't get over heath ledgers acting as the joker	इतने साल हो गए पर मैं अभी भी हैट ledgers कोई joker की acting को भुला नहीं सकता . 
that was some next level stuff	यह थोड़ा next level stuff था 
Agreed . It took a lot of good ating to be as good in the role as jack nicholson	Agreed . jack nicholson की तरह good acting करने में काफी मेहनत लगती है . 
oh jeez my typing is awful today . acting *	oh Jeez , मेरी typing आज awful है . acting * 
lol you're fine	lol तुम ठीक हो 
im not used to typing without emojis	मैं without emojis typing का used तो नहीं हूँ . 
#firstworldproblems	#firstworldproblems 
oh yeah me too . too much texting	oh yeah मैं भी . बहुत ज्यादा testing 
you know who i did love in these movies tho ?	क्या तुम जानते हो , in movies में मैंने किस से प्यार किया था ? 
who ?	Who ? 
MICHAEL CAINE	MICHAEL CAINE 
TRUEEEEEE	ठ्षूऐऐऐऐऐऐ 
He does so well as alfred :'D	वह alfred की तरह बहुत अच्छे से करता है :'D 
you can't not like him	आपको तो उसे पसंद नहीं आएगा 
mhmm . good in children of men too	महिम .. अच्छा हुवा बच्चों का 
Didn't he have a cameo in one of the recent superhero movies ?	क्या उसका recent superhero movies में कुछ cameo की तरह नजर नहीं आया ? 
Or am i thinking of someone else /	यह मैं कुछ और सोच रहा हूँ 
michael caine ?	michael caine ? 
yea	हां 
oh god there are so many superhero movies now that i really couldnt tell you	oh god .. काफी superhero movies हैं यार लेकिन अब मैं कुछ बोल नहीं सकता हूँ 
good point lmao	अछे point इमाओ 
u wanna know one superhero movie that im REALLY excited for	आप जाना चाहियेंगे मेरे यक superhero movies के बारे में जो मैं really excited हों 
whats that	क्या हैं 
THE INCREDIBLES 2 ! ! !	THE INCREDIBLES 2 ! ! ! 
k I just talked about this yesterday	कि मैंने just yesterday इसके बारे में बात की 
I've waited for soooooo loooooong	so long मैंने wait किया 
i am so excited and its taking way too long	मैं बहुत excited हूं और यह काफी time ले रहा है 
yes !	हाँ ! 
i will push children out of the way to watch it	मैं childrens को ऐसी watch करने के लिए out of the way push करूँगा 
right at the end of the movie , we were like when is the next ... ten years later ... haha	movie के just end में , we were like कब हैं अगला .. दस साल बाद .. haha 
hahahaha	hahahaha 
I think we are allowed to end our convo now ?	मुझे लगता है हम convo को end करने के लिए allowed हैं 
I have no idea honestly	मुझे कोई idea नहीं है सच में 
Haha well Im gonna see , it was lovely chatting ! ! ! have a great day !	haha well मैं देखूंगा , chatting करना lovely था ! ! ! have a great day ! 
Hi ! How are you ? Seen any good movies lately ?	है ! कैसे हो , कोई movie देखें क्या recently 
yeah , Frozen	हां , frozen . 
Sounds like a cold movie ! Can you tell me what it's about ?	ठंडी movie लगती है , उसके बारे में कुछ बता सकते हो ? 
Its about two girls Anna and Elsa	इसके बारे में दो लड़कियां अन्न और Elsa 
Anna is a princess	अन्ना एक Rajkumar है 
and Elsa is her younger sister	और Elsa उसके बेन है 
Gotcha ! Is it a movie for children or adults or both ?	पकड़ लिया क्या ये बच्चों या वास्तवों या दोनों के लिए एक Movie है ? 
Difficult to say , probably for both	कहना मुश्किल है शायद दोनों के लिए 
Well I like kids movies just as much as adult ones sometimes ! Did you really enjoy watching it ?	वैसे मुझे बच्चों की movie भी उतनी पसंद है जितनी कभी कभी व्यसक लोगों की क्या आपको वास्तव में इस देखने में मजा आया ? 
well , its been acclaimed as the best musical made by Disney	अच्छी तरह से यह डिज़ी द्वारा nimrit savarshesth sangit के रूप में parsanshit है 
I'm trying to find a good movie to watch tonight .	मैं आज रात को एक अच्छी movie देखने की कोशिश कर रहा हूँ . 
Sounds like a hit then ! Disney movies are always excellent .	एक hit की तरह लगता है dizni की movie हमेशा hit होती है . 
yeah , its also 3D animated , the visual are really good	हाँ इसकी 3d enimated वास्तव में अच्छा है 
even rotten tomatoes gave it 89 %	सड़े tomatoes ने भी 89 % दिए 
Not a bad review for Rotten Tomatoes ! I	सड़े tomatoes के लिए उतना बुरा review नहीं है 
Is it fairly new or a few years old ?	क्या कुछ नया है या कुछ साल पुराना है ? 
well , it came out in 2013	वह 2013 में आया था 
So fairly new . At least compared to some of the other Disney princess movies !	थोड़ा नया है कम से कम दूसरे disney princess movie की तुलना में 
Can you tell me what the basic plot is ?	बाटों सकते हो basic plot क्या है ? 
Don't give too much away though ! I don't want to know the ending !	ज्यादा मत बताओ ! मुझे ending नहीं जानना है 
ahaahah , ok	ahaahah , अच्छा 
the plot is really good , magic things , talking animals , its exactly what we want from Disney	plot बहुत अच्छा है , magic चीजें , बोलती animals , exactly यही चाहिये थी disney से 
Perfect !	एक दम सही ! 
I think I have found my movie for tonight !	मुझे लगता है कि मुझे आज रात के लिए अपनी film मिल गई है ! 
Thanks so much for your recommendation !	आपकी सिफ़ारिश के लिए बहुत बहुत धन्यवाद ! 
Sure , no problem ! Its also very emotional , so you may need some tissues :)	बिलकुल कोई परेशानी नहीं ! यह भी बहुत भावुक हैं , इसलिए आपको कुछ ऊतकों की आवश्यकता हो सकती है :) 
All the best ones are tear jerkers ! I'll be sure to have them handy along with some good snacks .	सभी बेहतरीन आंसू झटकेदार हैं ! मुझे यकीन है कि उन्हें कुछ अच्छी स्नैक्स के साथ काम करना होगा . 
yeah , the ending is definitely not what you would expect it to be	हाँ , अंत निश्चित रूप से वह नहीं है जो आप यह होने की उम्मीद करेंगे 
Is it a happy ending at least ?	क्या यह कम से कम एक सुखद अंत है ? 
well , you have to see it yourself	ठीक है , आपको इसे स्वयं देखना होगा 
not to spoil it	इस खराब करने के लिए नहीं 
the only hint I will give you is that it gets " political " at the end	एकमात्र संकेत जो मैं आपको दूंगा कि वह अंत में " राजनीतिक " हो जाता है 
True ! I hope it's a happy ending ! Is this a Disney movie that has a sequel ?	सच ! मुझे आशा है कि यह सुखद अंत है ! क्या यह एक डिज्नी films है जिसका seekval है ? 
actually , I don't know	actually , मुझे पता नहीं है 
Well since it's so new they may have not made one yet . But since it had such great reviews I'm sure they will ! I	Well क्योंकि यह इतना नया है वो अभी तक बनाया नहीं हैं.लेकिन इतने great reviews मिली कि मुझे surely लगता कि वह बनायेंगे ! 
I'll tell you if I enjoyed watching it but I'm sure I will !	मैं बताऊंगी कि मैंने watch करते हुए enjoy किया लेकिन i'm sure में करुँगी ! 
Good morning	शुभ PRABHAAT 
Good morning !	शुभ PRABHAAT 
Have you ever seen the movie ' the blind side ' ?	AAP कभी " THE BLIND SIDE " MOVIE देखा है ? 
Have you seen the Blind Side before ?	AAP THE BLIND SIDE कभी देखा है ? 
Ha ! Yes but it's been awhile .	है बहुत दिन पहले देखा हैं 
Jinx . :)	JINX . : 
You ?	TUM ? 
Same for me , it has been a while since I last seen it	मैं भी , बहुत दिन हो गया इसको देख कर 
I'm surprised it got such low reviews .	मैं आश्चर्य हूँ इस के REVIEW देख कर 
I agree , the numbers seem far too low . IMDb's score is not listed , however	I agree , number बहुत ज्यादा लो दिख रही है . वैसे IMDb ' score listed नहीं है 
Do you like Sandra Bullock ?	तुम Sandra Bullock को like करते हो ? 
She is quite good in all of her films .	वह अपनी her film me quite good होती है 
What do you think of her ?	उसके बारे में आपकी क्या thinking है ? 
I agree . I thought she was really good in this one too .	I agree . I thought who इसमें भी उतनी ही बढ़िया थी . 
The guy that played Big Mike was good too	वह जिसने बिग Mike को play किया था भी अच्छा था 
Agreed , they both were quite good	Agreed , वो दोनों ही equally good the . 
The back story for Mike was kind of sad	Mike की back story काफी sad type की थी . 
Indeed . It is an interesting story . Seeing this boy go from poverty and sleeping on someone's couch to college prospect , and then professional player was inspiring	Indeed . ye बहुत interesting story है . इस boy को poverty के दौरान किसी और के कोच पर सोते देखने से उसके college prospect तक , और then professional player बंटी देखना बहुत inspiring था . 
I'm sure the movie inspired a lot of other young athletes	I am sure is movie ने दूसरे young athletes को भी बहुत inspire किया होगा . 
Understandably	यह understandable है . 
I think it's incredible that this family took him in like that	मुझे यह incredible लगता है कि उसकी family ने उसे अपना लिया . 
It is incredible . Something that is totally lacking in most of the world , to be honest	हां , incredible है . सच कहूं तो यह बात दुनिया भर में totally lacking है . 
which is why they had to make a movie about it :)	इसी कारण उनको इसके बारे movie बनाना पड़ा . 
Of course	बिल्कुल . 
I would be curious to know where Mike is today	मैं यह पता लगाने के लिए curious हूँ कि आजकल Mike कहाँ है ? 
He is still in the NFL , I believe	मेरा विश्वास है कि वह अब भी NFL में है . 
I am not as sure as to what team he plays for , but I am relatively sure that he is still playing	मुझे नहीं जानता कि वह किस team के लिए खेलते हैं , but मैं relatively sure हों की वो अब भी खेलते हैं . 
I didn't remember that Tim McGraw was the dad . He's the big country singer right ?	मुझे याद नहीं था कि Tim McGraw है दाद है . वह एक बड़े country singer है , ठीक है ना ? 
He is . I do not remember him much from the movie , which may or may not be a bad thing	हाँ है . मुझे movie से उसके बारे में याद नहीं है , जो अच्छी या बुरी चीज हो सकती है . 
Alright have a good day !	तो कैसे हैं आज का दिन 
what was your opinion on the movie ?	यह movie आप का opinion क्या है ? 
It does sound pretty interesting and I can see the reviews are pretty high	यह tho pretty interest लग रहा है और मैने देखा है कि views तो pretty ज्यादा है . 
I personally have watched this movie . I thought it was super cute and it can be related to general life .	मैने खुद देखा ये movie . मैं ने सोचा है कि , यह तो बहुत cute और ये tho relate to general life . 
are you familiar with any of the actors ?	आप पी छांटा है क्या कोई actors को ? 
Yes the short reviews at the bottom suggest it is thought provoking .	ha , यह नीचे छोटे reviews है ना , वो तो थोड़ा सोचने का है . 
I can't say for sure but gennifer Goodwin sounds familiar	मैं ने नहीं भूल सकता है surely , but gennifer goodwin तो बहुत familiar है . 
Have you seen any other movies from the director ?	आप कोई movies देखा है क्या ये director का ? 
Honestly , when I watch movies , I hardly ever pay attention to who made it .	सच्चा यही से , जब मैं नई देखते हो movies को , मैं ने उतना attention नहीं रखता हूँ , ये कौन बनाया है . 
have you ?	आप कुछ ? 
Nope . I am a sucker for movies with animated animals though so I will definitely have to check this out .	नाही . मुझे तो animated animal movies को पसंद हैं तो मैं जरूर उसे check करूंगा 
Yea , Judy Hopps is the main character and is considered the first ever bunny cop . Sounds funny .	yea , जुड़े hopes तो मेन character हैं , और वह तो पहले bunny cop हैं . बड़ी funny लगा 
Agreed . There's a comment at the bottom about species stereotypes which sounds interesting too	मानता हूँ . कुछ species stereotype का comment bottom में हैं बहुत interesting लगा 
But they thought she would be able to handle being a cop because shes a bunny .	लेकिन सब सोचते थे कि यक बनने कैसे cop बना और वह कैसे handle कर पाठ्य 
Most of the cop or police are normally these big animals .	कहीं cop यार police तो बड़ी बड़ी animals है role play करते . 
Yep . Which to me is a bit counterintuitive because you think of rabbits being a prey species so more likely to run away from trouble .	हां . मुझे भी थोड़ा counterintuitive लगा क्यों कि rabbit तो यक prey species हैं और वह तो trouble में run करना ही पसंद करेगा 
Exactly .	बिल्कुल 
Of course the fox has to be the bad guy	हाँ और fox तो बाद guy हैं 
Actually , he is displayed as the slick fox . Always trying to con his way in to something .	actually , वो तो अलीक fox को देखाई गया हैं ... कभी भी वह उसको अछे की तरफ ही ले जा रहा था 
But he turns out to be a good guy .	लेकिन वो तो good guy निकला 
I'm trying to figure out who otterton and Manchas are from the new paragraph that flashed up	में figure out करने की कोशिश कर रहा आई कि otterton और मंचस क्या new paragraph से flash up हुए हैं 
Oh so like another goes away from the norm type of character in the fox	अरे तो ये एक और गया अपने fox के character से दूर 
Key scene two shows rabbit and fox working together !	key scene में rabbit और fox दोनों को together working करते दिखाया है 
Otterton is a missing person that judy is trying to find	otterton एक missing person है जिसे जुड़े ढूंढने की कोशिश कर रही है 
Judy kind of blackmailed Nick ( fox ) in working with her .	जूडी ने लगभग Nick ( fox ) को ब्लैकमई किया उसके साथ work करने के लिए 
I see . It sounds like a movie that has a well developed story line	I see , या तो उस movie की तरह sound कर रहा है जिसका एक well developed story line है 
It was a very good kids movie .	यह kids की लिए बढ़िया movie थी 
I'm just shocked that it wasn't as big as the Disney movies	मुझे यह देख के shock लगा कि Disney movies की तरह बड़ी नहीं है 
Oh ok . I'm a little bit wary of rotten tomato ratings also	Oh ok , मैं भी rotten tomato की rating को लेकर दुखी रहता हूँ . 
They can sometimes stray quite far from the other review sites of a bunch of very keen reviewers want to bump the score	कभी कभी वो दूसरी review sites से जो कुछ keen receivers के द्वारा होती है काफी भटक जाते हैं 
Ok scene three has some drug manufacturing going on !	oak scene three में कुछ drug manufacturing हो रही है . 
Yes , the drugs make the animals revert to their natural state .	Yes , drugs animals को वापस उनकी natural state में ले आती है . 
Oh so there must be some other force making them break moulds	oh वंहा पर कुछ दूसरा force भी होना चाहिए उनको break mounds बनाने के लिए . 
They become crazy animals again	वह फिर से crazy animals बन गए . 
But this is all while they still think Judy is a small cop	but यह सब तब भी हैं जब उन्हें लगा ताई की जुड़ी small cop है 
so they still dont consider her a strong animal	so वह अभी भी use strong animal नहीं consider करते . 
I see . Interesting . Hope she gets more respect later with all the arrests	I see , Interesting . Hope बाकी arrests के बाद उसे और ज्यादा respect मिले 
yea she does	यह उसने कर दिखाया 
would you see this movie ?	क्या तुम से movie देखोगे ? 
Hello ! How are you doing ?	HELLO ! कैसा हाल है AAP का . 
I'm not able to see the document that we will be discussing . Do you mind telling me what movie it is that we will be talking about ?	वह DOCUMENT जो हम बात करनेवाले हैं वो मुझे दिखाए नहीं देता.आपको एतराज़ है वो MOVIE का नाम बताने में जिन के बारे में हम बात करनेवाले हैं . 
I don't mean to pester you , but could you please confirm that you are receiving my messages ?	मैं आपको परेशान नहीं करना चाहता हूं लेकिन क्या आप PLEASE CONFIRM करेंगे कि आप को MESSAGES मिल रही है . 
I'm sorry , but I am going to have to abort the conversation within the next couple of minutes if I don't receive a response from you .	मैं माफी चाहता हूँ , लेकिन मुझे वो बातचीत कुछ मिनटों में रद्द कर देना है अगर आपसे कोई उत्तर नहीं मिला तो . 
It has now been five minutes since we began this chat . If I have not heard from you within the next minute , I will have to abort this conversation . I am sorry for any inconvenience that this may cause for you .	पाँच MINUTE हो गये हमारी CHAT शुरू हो कर . आपका उत्तर अगर मुझे अगला MINUTE तक नहीं मिला तो मुझे यह बातचीत रद्द करनी पड़ेगी.में माफ़ी चाहता हूँ अगर आपको कुछ असुविधा हो . 
It is a film directed by Steven Spielberg in 2002 it's a bio graphical crime about the character named Frank Abagnale Whom at a young age ran away from home to commit fraud	वह एक FILM है जो 2002 में STEVEN SPEIELBERG द्वारा NIRDESHIT . वो एक BIOGRAPHICAL अपराध है जो एक किरधर FRANK अभागनालय के बारे में है जो छोटी UMR में दुखा करने के लिए घर से भाग गया . 
What is the name of the film ?	वह FILM का नाम क्या है ? 
Catch me if you can	हो सके TO पकड़ मुझे 
I don't think I've ever seen that , but I do remember hearing about it . Have you seen it ?	मुझे नहीं लगता कि मैं आज तक वह देखा लेकिन मुझे याद है उसके बारे में सुना है . AAP ने देखा है ? 
Yes I've seen it and is very good film	हाँ मैंने देखा है और बहुत अच्छी FILM है . 
It definitely sounds interesting . I will definitely watch it at some point . Why does the character run away from home ?	यह definitely interesting sound करता .. मैं जरूर इस movie को देखूंगा .. कौनसा character घर से भागा ? 
It is starring Leonardo Leonardo DiCaprio as Frank Abignale whom is a master at check fraud and Tom Hanks is the FBI agent who chases him	leonardo dicaprio - frank अभिग्नालय से starry होते जो fraud करने पे master हैं , और tom hanks जो FBI agent थी वह उससे chase करते 
Leonardo DiCaprio and Tom Hanks are both incredible actors . What is his reason for running away from home to commit fraud ?	leonardo dicaprio और tom hanks दोनों incredible actors हैं .. क्या reason हैं वो अपने घर से भाग ने क ? 
He's running away from the character the Tom Hanks plays as the FBI agent agent who is trying to catch up who's trying to catch him for check fraud , Leonardo DiCaprio poses as a pan am American pilot	वह tom hanks जो FBI agent थे उसके लिए भाग रहा था क्यों कि वह उसका fraud को catch करने पर कोशिश कर रहा था .. leonardo dicaprio यक american pilot they 
Now that you mention it , I remember seeing the trailer for this and really wanting to see it .	हाँ आप mention किया , आह मुझे याद आता उस trailer को 
Yeah it's definitely a very suspense field film and if you like Leonardo DiCaprio you will very much enjoy this film	हां , definitely में is film तो बड़ी suspense हैं , अगर आपको leonardo dicaprio पसंद हैं तो आप जरूर इस film को एंजॉयकॉरेंज 
Any film that I've ever seen with him in it was really good . It's ironic that you mention him because for some reason , I've been in the mood to watch Titanic .	हाँ काफी filmon में वह अछे perform करते ... वो ironic हैं , मुझे उन्हें titanic में पसंद हैं 
Has another movie now shown up on your end for us to discuss ?	तो और कोई movie का end हम discuss करेंग ? 
This movie was really good I think it should have earned Leonardo DiCaprio the Oscar that he will deserves . This movie is definitely well watching it has Tom Hanks and Leonardo DiCaprio and it is very suspense field and will keep you on the edge of your seat the whole	is movie तो वकी में अछे हैं , , leonardo डिक्रियों तो oscar के लिए deserve हैं .. इस movies को definitely watch करूँगा ... 
No other than that you mentioned titanic	titanic के बेहतर और कोई नहीं 
I like movies that keep me on the edge and that are suspenseful .	मुझे ऐसी movie पसंद हैं जो मुझे edge पर रखती हैं और suspenseful है . 
Which titanic is one of my favorite Leonardo DiCaprio movies ever	जिसमें Leonardo DiCaprio की titanic movie मेरे favorite movie में से एक है 
I think you would really enjoy this movie and you should give it a watch	मुझे लगता है , आप यह movie को बहुत ही enjoy करेंगे और आपको एक बार उसे दिखनी चाहिए 
Me , too . I also really like Black Diamond . Catch Me If You Can will absolutely be the next movie that I watch .	मुझे भी , मैं भी Black Diamond को बहुत ही like करता हूँ . मेरी अगली movie जो मैं देखने वाला हो वह वहीं होगी . 
I have never seen black diamond does that also star Leonardo DiCaprio	मैंने कभी black diamond नहीं देखी क्या उसमे भी Leonardo DiCaprio star है 
Do you know if Leonardo DiCaprio was nominated for an Oscar for this movie ?	क्या आपको पता है कि Leonardo DiCaprio को इस movie के लिए Oscar के लिए nominated किया गया था ? 
Oh , I'm sorry . I meant Blood Diamond . Blood Diamond does star Leonard Dicaprio , yes .	oh , sorry . मेरे मतलात हाई Blood Diamond . हुआ , Blood Diamond में Leonard Dicaprio star है . 
The only movie that I know of that Leonardo DiCaprio was nominated for Oscar wasThe movie named revenant	Leonardo DiCaprio की सिर्फ एक movie मुझे पता है जिसका नाम बदला हुआ था उसे Oscar के लिए nominated किया गया था . 
Oh yes I have seen blood diamond in that was a very good movie as well	Oh yes , मैंने blood diamond देखी हुई है उसमें वह एक बढ़िया movie थी 
Gotcha . I think he deserves a lot more than that .	Gotcha . मुझे लगता है कि वह इससे बहुत अधिक deserve करता है . 
I agree it is sad that it took them this long to actually earn his Oscar although the movie the revenant was quite	मैं मानता हूँ , यह sad हैं यार क्यों की वो oscar तो जीत लिया लेकिन इस movie थोड़ा revenant निकला 
Amazing	amazing यार 
I agree as well . Given that Catch Me If You Can was released in 2002 , I doubt he'll earn an Oscar for that . Any time that I see that a movie will be starring him or even that he'll be in , I'm always interested in watching it .	मैं भी मानता हूँ .. जब 2002 में Catch मी if you can released हुवा था तो , सभी oscar के लिए इंतजार कर रहे थे ... तो सभी इस movie को देखने के लिए बहुत बेचैन हो रही थी 
Yes me as well he's a very good actor and deserves a lot more credit than what he has gotten	हाँ मैं भी .. वो बढ़िया actor हैं और काफी deserve करती .. 
If you are a Leonardo DiCaprio fan I suggest you also watch a film he starred in called inception	अगर आप leonardo dicaprio का fan हो तो मैं यह film को देखने का जरूर suggest करूँगा 
I completely agree . You have definitely convinced me to watch Catch Me If You Can . Thank you for providing me with all of the information about it . Do you happen to know if it is available on Netflix ?	मैं तो मानता हूं .. मैं तो definitely convinced हूँ catch मी if you can को देखने के लिए .. Thank you मुझे इसका information देने के लिए .. क्या netflix में हैं ? 
I've actually seen Inception , and it is a great movie !	में inception देखा हूँ , बढ़िया movie हैं 
I wish it was available on Netflix but I'm not very sure that it is I have rented it from my movie store that is close to my home	मुझे लगता हैं कि यह netflix में available होगा लेकिन इतना भी sure नहीं , क्यों कि इस movie के लिए मैं rent भी करना तैयार था 
Okay . Well , thank you for all of the information . It looks like we are finished up with our chat . Thank you again for providing me with the information about the movie ! Have a great night .	अच्छा तो thankyou इस information के लिए .. तो अब मुझे थोडा काम हैं .. हम फिर इस movie के बारे में कल बात chat करेंगे .. शुभ रात्रि .. 
Yes inception is a great film and Leonardo DiCaprio and Joseph Gordon Levitt star in that film	हां , inception तो बढ़िया film हैं .. Leonardo dicaprio और joseph gordon levitt तो बढ़िया star हैं इन film में 
I know . I love them both , and I love that movie .	मुझे पता हैं मुझे इस movie और दोनों को पसंद हैं 
Dude	दोस्त 
what's good ?	अच्छा है क्या ? 
hey	है 
you told me you would review a movie with me the last time we talked	आखरी बार जब हमने बात किया था कि तुम मेरे साथ film की समीक्षा करोगे . 
so you have my full attention	तो आप पर मेरा पूरा ध्यान है 
bring it on	जो है वो सामने रखो 
Have you seen batman vs superman ?	क्या तुमने batman बनाम superman देखा है ? 
Nope	नहीं 
why not ?	क्यों नहीं ? 
but I almost saw the trailer sometimes back	पर मैने उसका trailer थोड़े time पहले देखा है 
Maybe because i don't fancy them	शायद because me use fancy नहीं करता 
so what's up with the movie ?	तो movie के साथ क्या हुआ ? 
Haven't you heard that it is a great movie ?	तुमने सुना नहीं है वह एक great movie है ? 
Yeah , I hear that too often	है , मैं use भी बारबार सुनता हूँ 
I guess it is a Sci-Fi genre right ?	मैं सोचता हूँ वो Sci-Fi genre है सही ? 
not really	जरूरी नहीं 
so what genre does it belong ?	तो कौनसे genre से वह belong करता है ? 
It's more of a fantasy , you should go see it it , it is action packed .	उसमें fantasy बहुत है , तुम उसे देखने जाना जोग , वह action packed है . 
WHAT IS THE GENRE ?	कौनसी genre की है ? 
fantasy	fantasy 
remind me the director's name please ,	मुझे director का नाम याद दिलाना , please 
Is there a particular reason you have not seen it yet ?	क्या कोई particular reason है कि तुम्हें वह अब तक नहीं देखी ? 
No not any	No , कोई नहीं 
can you give me a run down of the cast ?	Cast का नाम बता सकते हो तुम ? 
why ? Why didn't the tr ailer interest you ?	क्यों ? Trailer देख के interest क्यों नी हुआ ? 
Batman vs Superman	Batman vs Superman 
The director is Zack Snyder , 27 % Rotten Tomatoes , 4.9 / 10 .	zack snider है director हैं , rotten tomatoes ने तो 27 % दिया जो 4.9 / 10 
Not very popular it seems	इतना भी popular नहीं हैं 
But the audiences liked it . It has a B cinema score	लेकिन audiences को पसंद हैं . ये भी cinema का score हैं 
Yes	हां 
There is a huge divergence between proffession al critical opinion and regular movie goers	काफी divergence हैं profession अल critical का opinion और regular movie का goers 
I've never seen it	मैं नहीं देख हूँ 
I know the difference .	मुझे उसका difference के बारे में कुछ पता हैं 
I can't believe they used Ben Affleck as Batman	मुझे यकीन ही नहीं होता कि वह बेन affleck को batman से used किया था 
So it probably won't get any awards , but should have done well enough at the box office	तो कुछ award नहीं मिला लेकिन वह सब box office में अछे collection मिले 
It was a strange choice	यह तो strange choice हैं यार 
Well it was made in 2016	well यह 2016 में बनी थी 
I'm just guessing as to what it may have accomplished back then	मैं just guess कर रहा हूँ कि इससे उन्होंने उस time पे क्या accomplish किया होगा 
Probably nothing with those scores	probably is score के साथ nothing 
The box office gross is more important than critics acceptance for these blockbuster type movies	इन blockbuster type की movies के लिए box office total ज्यादा important होता है बजाय critics की acceptance की . 
I don't like how they made a whole new story line .	मुझे तो बिलकुल ही पसंद नहीं आया कैसे उन्होंने पूरी new story line बना दी . 
They ruined it for me	मेरे लिए तो उन्होंने ruin कर दी 
although critics can affect word of mouth to an extent	although critics एक extent तक affect कर सकते हैं word of mouth को 
Batman as a billionaire	Batman एक billionaire के रूप में 
yeah right !	yes right ! 
Isn't that what he always was ?	क्या वह always ऐसा ही नहीं था ? 
But they make it the main focus .	लेकिन यह तो उनका में focus हैं 
Batman I know , was humble	batman tho humble हैं यार 
The lack of intellectual development for the main characters was my problem . Especially concerning Lex Luthor	are मैं characters का intellectual development में ही कुछ problem हैं यार ... especially उस lex luthor को 
Have you seen this movie ?	क्या आप इस movie को देखा ? 
Yes I have	हाँ मैं देखा .. 
What was your favorite part ?	आपके favourite part कौनसा हैं ? 
Lex L uthor was the worse villain ever	lex luthor tho worse villain हैं यार 
You think ?	आपको पता हैं ? 
This wasn't a memorable movie . It got me through a bucket of popcorn at the moment I was watching , but you forget about it soon after	वह तो memorable movie भी नहीं था .. जब मैं picture देख रही थी तब मुझे popcorn bucket मिले , और यह मैं कभी भूल नहीं सकती 
hahaha	ha ha ha 
Did people know that they were super heroes ?	क्या लोगों को पता हैं कि वह super heroes हैं ? 
The best part was Wonder Woman action scenes in the final act	उसका best part tho wonder woman actionscene का हैं 
I love Wonder Woman	मुझे wonder women बहुत पसंद हैं 
Wonder Woman is the right name for her cause I always wonder why they took so long to get her into the movies	wonder woman तो सही नाम हैं क्यों कि मैं तो हमेशा wonder करती कि वह इतना अछे कैसे act कर सकती इस movie के लिए 
haha	ha ha 
I agree ! ! !	मैं भी मानता हूँ 
Let's get started .	चलो start करते हैं 
Have you ever seen the movie John Wick ?	क्या तुमने John Wick movie देखी है ? 
Yes , with that actor who was in the Matrix flicks .	Yes , उसमें वह actor था ना जो Matrix में भी था . 
Yes , that's the one .	हाँ , वो ही है . 
What did you think ?	तूने क्या सोचे ? 
I thought it was his best film .	मुझे लगा वो उसके best film थी . 
I don't see a paragraph about a movie . Is anyone else in here ?	मुझे तो कुछ paragraph नहीं दिख रहा हैं उस movie में . क्या कोई और देख रहे हैं क्या ? 
Hi ! Have you seen the movie The Imitation Game ?	है .. क्या कोई imitation game का movie देखे हैं क्या ? 
I haven't . What's that about ?	मैं नहीं . उसमें क्या हैं ? 
It's a 2014 American historical drama about real life cryptoanalyst Alan Turing .	वह तो American historical drama का real life cryptoanalyst एलन turning हैं जो 2014 में release हवा था 
