en,hinglish,label,hinglish_clean,label_encoded
Hello ! Have you seen the movie La La Land ?,आप कैसे हो ! क्या तुमने ला ला land movie देखी ?,neutral,आप कैसे हो क्या तुमने ला ला land movie देखी,1
No I haven't .,"No , मैंने नहीं देखी .",neutral,no मैंने नहीं देखी,1
What is it about ?,यह किस बारे में है ?,neutral,यह किस बारे में है,1
It's really good ! It's a musical / romantic comedy about two people who fall in love in Hollywood .,यह सचमुच अच्छा है ! यह दो लोगों के बारे में एक संगीतमय / romantic komedee है जो holeevud में प्यार करते हैं .,positive,यह सचमुच अच्छा है यह दो लोगों के बारे में एक संगीतमय romantic komedee है जो holeevud में प्यार करते हैं,2
Who are the main actors ?,मुख्य abhineta कौन हैं ?,positive,मुख्य abhineta कौन हैं,2
Ryan Gosling and Emma Stone are the two main characters .,rayaan gosling और emma stone दो मुख्य पात्र हैं .,positive,rayaan gosling और emma stone दो मुख्य पात्र हैं,2
Are they the characters that fall in love ?,क्या वे पात्र हैं जो प्यार में पड़ जाते हैं ?,positive,क्या वे पात्र हैं जो प्यार में पड़ जाते हैं,2
They are . One's a jazz pianist and the other is an aspiring actress .,वो हैं . एक jaij piyaanovaadak और दूसरा एक महत्वाकांक्षी abhinetree हैं .,negative,वो हैं एक jaij piyaanovaadak और दूसरा एक महत्वाकांक्षी abhinetree हैं,0
What is the conflict ?,संघर्ष क्या है ?,neutral,संघर्ष क्या है,1
"There isn't really a major conflict , the movie just follows these two characters as they fall in love .","वास्तव में एक बड़ा संघर्ष नहीं है , film सिर्फ in दो पात्रों का अनुसरण करते हैं क्योंकि वे प्यार में पड़ जाते हैं .",positive,वास्तव में एक बड़ा संघर्ष नहीं है film सिर्फ in दो पात्रों का अनुसरण करते हैं क्योंकि वे प्यार में पड़ जाते हैं,2
There are several dance numbers that are really well done .,कई डांस नंबर हैं जो वास्तव में अच्छी तरह से किए गए हैं .,neutral,कई डांस नंबर हैं जो वास्तव में अच्छी तरह से किए गए हैं,1
Is it a musical ?,यह एक संगीत है ?,neutral,यह एक संगीत है,1
"Yes , it is a musical .","हां , यह एक संगीत है .",neutral,हां यह एक संगीत है,1
Are there any current pop stars who are in it ?,क्या कोई वर्तमान pop स्टार हैं जो इसमें हैं ?,neutral,क्या कोई वर्तमान pop स्टार हैं जो इसमें हैं,1
They meet for the first time when he's playing a jazz improvisation and the music draws her into the restaurant .,वे पहली बार मिलते हैं जब वह एक जैज़ improovament खेल रहा होता है और sangeet use restaraan में खींचता है .,positive,वे पहली बार मिलते हैं जब वह एक जैज़ improovament खेल रहा होता है और sangeet use restaraan में खींचता है,2
John Legend is in the film .,non legend films में हैं .,neutral,non legend films में हैं,1
Is it love at first sight ?,क्या यह पहली नज़र में प्यार है ?,positive,क्या यह पहली नज़र में प्यार है,2
"Kind of . She falls in love with his music , then gets to know him better and better throughout the film .","एक प्रकार का . use अपने संगीत से प्यार हो जाता है , फिर पूरी films में उसे बेहतर और बेहतर तरीके से जानने लगते हैं .",positive,एक प्रकार का use अपने संगीत से प्यार हो जाता है फिर पूरी films में उसे बेहतर और बेहतर तरीके से जानने लगते हैं,2
Who is the director of the film ?,films का nirdeshak कौन है ?,neutral,films का nirdeshak कौन है,1
It's directed by Damien Chazelle .,यह demiyan चेजेल द्वारा nirdeshit है .,neutral,यह demiyan चेजेल द्वारा nirdeshit है,1
Never heard of them . What other movies have they been the director ?,उनके बारे में कभी नहीं सुना . nirdeshak के रूप में उनकी कौन सी अन्य filmed हैं ?,negative,उनके बारे में कभी नहीं सुना nirdeshak के रूप में उनकी कौन सी अन्य filmed हैं,0
"He directed Whiplash as well , which is another film about music .","उन्होंने vhipalaish को भी nirdeshit किया , जो sangeet के बारे में एक और film है .",neutral,उन्होंने vhipalaish को भी nirdeshit किया जो sangeet के बारे में एक और film है,1
I like it because the characters are falling in love as they're following their dreams .,मुझे यह पसंद है क्योंकि पात्रों को प्यार हो रहा है क्योंकि वे अपने सपनों का पालन कर रहे हैं .,positive,मुझे यह पसंद है क्योंकि पात्रों को प्यार हो रहा है क्योंकि वे अपने सपनों का पालन कर रहे हैं,2
Do you know who does the choreography for La La Land ?,क्या आप जानते हैं कि ला ला paine के लिए koriyograaphee कौन करता है ?,neutral,क्या आप जानते हैं कि ला ला paine के लिए koriyograaphee कौन करता है,1
I don't know .,मुझे नहीं पता .,neutral,मुझे नहीं पता,1
What kind of movies do you like ?,आप किस तरह की filmed पसंद करते हैं ?,positive,आप किस तरह की filmed पसंद करते हैं,2
I enjoy things where I have to think . Or that have strange plot twists . Like Memento . Or Predestination . Where you don't understand everything until the very end .,मैं उन चीजों का आनंद लेता हूं जहां मुझे सूचना है . यह कोई अजीब साजिश mod है . memento की तरह . या पूर्वाभास . जहाँ आप बहुत अंत तक सब कुछ नहीं समझते हैं .,positive,मैं उन चीजों का आनंद लेता हूं जहां मुझे सूचना है यह कोई अजीब साजिश mod है memento की तरह या पूर्वाभास जहाँ आप बहुत अंत तक सब कुछ नहीं समझते हैं,2
Are there other movies like La La Land that you could compare to it ?,क्या ला ला paine जैसे अन्य filmed हैं जिनसे आप इसकी तुलना कर सकते हैं ?,negative,क्या ला ला paine जैसे अन्य filmed हैं जिनसे आप इसकी तुलना कर सकते हैं,0
Cool ! Well then you might not like La La Land . It's a bit more straightforward and focuses more on relationships and the characters .,ठंड ! तो फिर आप ला ला paine पसंद नहीं कर सकते हैं . या थोड़ा अधिक सीधा है और रिश्तों और पात्रों पर अधिक ध्यान केंद्रित करता है .,positive,ठंड तो फिर आप ला ला paine पसंद नहीं कर सकते हैं या थोड़ा अधिक सीधा है और रिश्तों और पात्रों पर अधिक ध्यान केंद्रित करता है,2
I like all kinds of movies . Are there other films that you could compare La La Land to ?,मुझे सभी तरह की filmed पसंद हैं . क्या ऐसे अन्य filmed हैं जिनसे आप ला ला paine की तुलना कर सकते हैं ?,negative,मुझे सभी तरह की filmed पसंद हैं क्या ऐसे अन्य filmed हैं जिनसे आप ला ला paine की तुलना कर सकते हैं,0
It's kind of a unique type of movie . It has a lot in common with movies from the 1920s that have lots of dance and musical numbers .,यह एक अनोखी किस्म की film है . यह 1920 के दशक की philmon के साथ बहुत कुछ है जिसमें बहुत सारे norty और संगीत संख्याएँ हैं .,positive,यह एक अनोखी किस्म की film है यह के दशक की philmon के साथ बहुत कुछ है जिसमें बहुत सारे norty और संगीत संख्याएँ हैं,2
It's very well-made . Lots of critics seem to have enjoyed it .,यह बहुत अच्छी तरह से बनाया गया है . लगता है कि आलोचकों ने इसका भरपूर आनंद लिया है .,positive,यह बहुत अच्छी तरह से बनाया गया है लगता है कि आलोचकों ने इसका भरपूर आनंद लिया है,2
Hello,Hello,neutral,hello,1
Have you watched new movie of hohn lee hancock,क्या तुमने होहन लिए hancock की नई movie देखी है,positive,क्या तुमने होहन लिए hancock की नई movie देखी है,2
hey man its a great movie,अररे वह एक बहुत अछी movie है,positive,अररे वह एक बहुत अछी movie है,2
Hello,hello,neutral,hello,1
its a Biographic sports drama,यह एक Biographic movie है,neutral,यह एक biographic movie है,1
called The blind side,The blind side कहा जाता है,negative,the blind side कहा जाता है,0
Yes I have watched already like 10 times and you,हाँ मैंने 10 बार देखी है और तुमने,neutral,हाँ मैंने बार देखी है और तुमने,1
not yet,अभी नहीं,neutral,अभी नहीं,1
but sounds great,but सुनने पे अछि लगती है,positive,but सुनने पे अछि लगती है,2
And it teach you a lot,और यह तुम्हें बहुत कुछ सिखाती है,neutral,और यह तुम्हें बहुत कुछ सिखाती है,1
it has nice reviews,अछे review हैं यार ...,positive,अछे review हैं यार,2
You have to see it ... speaciallt rhe environment that we live right now,आप ज़रूर देखो .. especially वह environment तो बढ़िया live हैं,positive,आप ज़रूर देखो especially वह environment तो बढ़िया live हैं,2
I should go and watch it,मैं जरूर watch करूँगा,neutral,मैं जरूर watch करूँगा,1
It teach you that the race it doesn ’ t matter,इसमें आपको सीख मिलेगा कि race matter नहीं करती,neutral,इसमें आपको सीख मिलेगा कि race matter नहीं करती,1
she did good acting I guess,वह अच् acting हैं,positive,वह अच् acting हैं,2
hard life of foster child,hard life हैं उस foster बच्चे का,negative,hard life हैं उस foster बच्चे का,0
You should I recommend it,मैं जरूर आपको recommend करूँगा,neutral,मैं जरूर आपको recommend करूँगा,1
Yes specially with the acting of the kid mike,हाँ .. specially us kid का acting इस movie में तो बढ़िया हैं,positive,हाँ specially us kid का acting इस movie में तो बढ़िया हैं,2
But at the same time is a sad movie,लेकिन यह sad movie हैं,negative,लेकिन यह sad movie हैं,0
Because how a parent can ’ t take care of the kid when you have it,क्यों कि उसका parent उस kid का कुछ ध्यान नहीं रखते ..,neutral,क्यों कि उसका parent उस kid का कुछ ध्यान नहीं रखते,1
well I guess life gets better,Well I guess life better होगी,positive,well i guess life better होगी,2
when you have good family,तुम्हें Good family कब मिलेगी ?,positive,तुम्हें good family कब मिलेगी,2
Yes and this movie will tell you,"Yes , यह movie तुम्हें बताएगी",neutral,yes यह movie तुम्हें बताएगी,1
she is a good interior designer,वह एक Good interior designer हैं,positive,वह एक good interior designer हैं,2
and the meaning of adoption is cas fast I,और Adoption का मेंग केस Fast I है,positive,और adoption का मेंग केस fast i है,2
she was always at his side,वह हमेशा से उसकी side थी,neutral,वह हमेशा से उसकी side थी,1
Yes I love her acting in the movie,Yes मुझे Movie में उसके acting से प्यार है,positive,yes मुझे movie में उसके acting से प्यार है,2
that is important,यह Important है,positive,यह important है,2
And in all movies does she does it ’ s amazing,और जितनी भी Movie उन्होंने की है उसने Amazing काम किया है,positive,और जितनी भी movie उन्होंने की है उसने amazing काम किया है,2
that made him succeed,इसने इसे Succeed बनाया है,neutral,इसने इसे succeed बनाया है,1
Yes totally,yes totally,neutral,yes totally,1
The re is a part that ’ s it ’ s hilarious when they try to buy clothes to mike her face was hilarious haha,"रे एक ऐसा part है जो कि बहुत hilarious है जब वे mike को clothes खरीदने की try करते हैं , उसका face hilarious था haha",positive,रे एक ऐसा part है जो कि बहुत hilarious है जब वे mike को clothes खरीदने की try करते हैं उसका face hilarious था haha,2
gang leader threaten him,गांड leader ने मुझे धमकी दी,neutral,गांड leader ने मुझे धमकी दी,1
but michael really showed spirrit,पर michael ने really spirit show की,positive,पर michael ने really spirit show की,2
Yes I totally agree,हाँ मैं totally agree हूँ,neutral,हाँ मैं totally agree हूँ,1
You should watch it,तुम्हें इस watch करना चाहिए,neutral,तुम्हें इस watch करना चाहिए,1
nice to talk,बात करने में nice है,positive,बात करने में nice है,2
bye,bye,neutral,bye,1
"Hi , how are you ?",नमस्ते आप कैसे हैं ?,neutral,नमस्ते आप कैसे हैं,1
Good how about you,अच्छा आप कैसे हैं,positive,अच्छा आप कैसे हैं,2
Have you ever seen jaws ?,क्या आपने कभी jaws देखा है ?,neutral,क्या आपने कभी jaws देखा है,1
No I haven't . Is it good ?,"नहीं , मैंने नहीं किया है . अच्छी है ?",positive,नहीं मैंने नहीं किया है अच्छी है,2
It is amazing . It's about a man trying to save his beach side town from a crazy shark,यह आश्चर्यजनक है . या एक ऐसे व्यक्ति के बारे में है जो अपने समुद्र तट के शहर को पागल शार्क से बचने की कोशिश कर रहा है,neutral,यह आश्चर्यजनक है या एक ऐसे व्यक्ति के बारे में है जो अपने समुद्र तट के शहर को पागल शार्क से बचने की कोशिश कर रहा है,1
What about LA LA land ? Have you seen that ?,la la paine के बारे में क्या ? क्या आपको लगता है कि देखा है ?,neutral,la la paine के बारे में क्या क्या आपको लगता है कि देखा है,1
Would you say it has a happy ending to it ?,क्या आप कहेंगे कि इसका सुखद अंत हुआ है ?,positive,क्या आप कहेंगे कि इसका सुखद अंत हुआ है,2
I haven't seen LA LA land either . Which one would you recommend ?,मैंने ला ला भूमि भी नहीं देखी है . तुम किसकी सिफारिश करना चाहोगे ?,neutral,मैंने ला ला भूमि भी नहीं देखी है तुम किसकी सिफारिश करना चाहोगे,1
Yes . They kill the Shark and get to relax and be happy in the end,हां . वे शार्क को मारते हैं और अंत में आराम करने और खुश होने के लिए मिलते हैं,positive,हां वे शार्क को मारते हैं और अंत में आराम करने और खुश होने के लिए मिलते हैं,2
"Aw man , spoilers haha","अजी यार , बिगाड़ता है haaha",positive,अजी यार बिगाड़ता है haaha,2
Honestly I would recommend jaws . It's such a great classic movie,ईमानदारी से मैं जबड़े की सिफारिश करूंगा . या इतनी बेहतरीन क्लासिक films है,positive,ईमानदारी से मैं जबड़े की सिफारिश करूंगा या इतनी बेहतरीन क्लासिक films है,2
Why not La La land ? Do you not like it ?,क्यों नहीं ला ला paine ? क्या आपको यह पसंद नहीं है ?,neutral,क्यों नहीं ला ला paine क्या आपको यह पसंद नहीं है,1
What genre is La La land ?,क्या शैली लह लह भूमि है ?,neutral,क्या शैली लह लह भूमि है,1
LA LA land is OK but it doesn't compare to the action of Jews . I give it a 7.8 whereas jaws is a 9.1,"la ल भूमि ठीक है , लेकिन यह यहूदियों की कार्रवाई की तुलना नहीं करता है . में इसे 7.8 देता हूँ जबकि जबड़े 9.1 है",positive,la ल भूमि ठीक है लेकिन यह यहूदियों की कार्रवाई की तुलना नहीं करता है में इसे देता हूँ जबकि जबड़े है,2
LA LA land is a musical romantic Comedy,la la भूमि एक संगीतमय romantic कॉमेडी है,neutral,la la भूमि एक संगीतमय romantic कॉमेडी है,1
"Hmm , you might have to convince me a little more about Jaws just because I already know the ending . Since you said LA LA Land is a romantic comedy , is there any romance in Jaws ?","हम , तुम मुझे जबड़े के बारे में थोड़ा और समझाने के लिए हो सकता है क्योंकि मैं पहले से ही अंत जानता हूँ . जब से आपने कहा था कि ला ला paine एक romantic कॉमेडी है , क्या जॉज़ में कोई romaans है ?",positive,हम तुम मुझे जबड़े के बारे में थोड़ा और समझाने के लिए हो सकता है क्योंकि मैं पहले से ही अंत जानता हूँ जब से आपने कहा था कि ला ला paine एक romantic कॉमेडी है क्या जॉज़ में कोई romaans है,2
And is LA LA Land based on a real story ?,और क्या ला ला paine एक वास्तविक कहानी पर आधारित है ?,positive,और क्या ला ला paine एक वास्तविक कहानी पर आधारित है,2
No . Jaws has little romance,"नहीं , जबड़े में थोड़ा romaans है",negative,नहीं जबड़े में थोड़ा romaans है,0
hi,नमस्ते,neutral,नमस्ते,1
hey,हेय,neutral,हेय,1
have you Dunkirk ?,क्या तुम्हारे पास Dunkirk है,neutral,क्या तुम्हारे पास dunkirk है,1
seen ?,देख लिए ?,neutral,देख लिए,1
no what is that ?,नहीं किया है वह ?,neutral,नहीं किया है वह,1
its the movie we need to discuss,वो movie है जो हमें discuss करनी है,neutral,वो movie है जो हमें discuss करनी है,1
then discuss cause I have nt seen it . but I see christopher nolan directed it,"To discuss करलो क्योकि मैंने नहीं देखी है , but use christopher nolan ने direct की है",neutral,to discuss करलो क्योकि मैंने नहीं देखी है but use christopher nolan ने direct की है,1
"Yep , my Favourite director","हां , मेरे favorite director",neutral,हां मेरे favorite director,1
it seems dunkirk was his latest project and has gotten high marks across the board,ऐसा लगता है कि dunkirk उसका latest project था और उसको हर जगह से high marks मिले हैं,positive,ऐसा लगता है कि dunkirk उसका latest project था और उसको हर जगह से high marks मिले हैं,2
I have a watched all his movies but missed out in this one,मैंने उसने सभी movie देखी है but इसे miss कर गया,neutral,मैंने उसने सभी movie देखी है but इसे miss कर गया,1
yep appreciated critically and commercially,हाँ critically और commercially appreciate हुई है,neutral,हाँ critically और commercially appreciate हुई है,1
after this movie DUNKIRK . I wonder why he hasnt been more mainstream,इस movie Dunkirk के बाद सोचता हूँ वो और mainstream क्यों नहीं होता,positive,इस movie dunkirk के बाद सोचता हूँ वो और mainstream क्यों नहीं होता,2
frankly his movies have got lot more meaning and are more fun at the same time,frankly उसके movies में ज्यादा meaning आगये और ज्यादा मजेदार same time पे होगई,positive,frankly उसके movies में ज्यादा meaning आगये और ज्यादा मजेदार same time पे होगई,2
make me really want to figure out what other films besides DUNKIRK that he also did besides DUNKIRK .,ऐसा लगता है कि खोजू उसने Dunkirk के अलावा और कौनसी film की है,neutral,ऐसा लगता है कि खोजू उसने dunkirk के अलावा और कौनसी film की है,1
"The batman series , Interstellar , Inception","Batman series , Interstellar , Inception",neutral,batman series interstellar inception,1
just to name a few,बस कुछ नाम,negative,बस कुछ नाम,0
are we allowed to do that ? I mean it is kind of to stay on topic when both of us havent seen dunkirk,हम यह करने के लिए allowed है ? I mean कर सकते हैं topic पे रहने के लिए since हम दोनों ने dunkirk नहीं देखी है,positive,हम यह करने के लिए allowed है i mean कर सकते हैं topic पे रहने के लिए since हम दोनों ने dunkirk नहीं देखी है,2
so its a war movie ?,तो वह एक war movie है ?,neutral,तो वह एक war movie है,1
well then ... after rewatching his first batman move i felt that he took inspirations for the first batman animation series cause the way the night life were . it was almsot always dark and yellow,"well , उसके first batman movie rewatch करने के बाद मुझे लगा उसने first batman animation series से काफी inspirations लिए है night life के लिए . वो हमेशा dark और yellow रहता था",neutral,well उसके first batman movie rewatch करने के बाद मुझे लगा उसने first batman animation series से काफी inspirations लिए है night life के लिए वो हमेशा dark और yellow रहता था,1
yes,हां,neutral,हां,1
i heard the movies is depressing in here ?,मैंने सुना है movies यहां depressing है .,negative,मैंने सुना है movies यहां depressing है,0
well .. it is a war film don't know how you can make it light hearted and they have germany so ...,"Well , वह एक war film है मुझे नहीं पता उसको कैसे light hearted बना सकते हो और उसमें germany है तो ...",positive,well वह एक war film है मुझे नहीं पता उसको कैसे light hearted बना सकते हो और उसमें germany है तो,2
"yea thats true , also Nolan isnt known for his sense of humour","हां , यह सच है , Nolan भी अपने sense of humour के लिए नहीं जाना जाता है",positive,हां यह सच है nolan भी अपने sense of humour के लिए नहीं जाना जाता है,2
oh just remmbered why 1940 was so captivating . it was the start of WWII so ... thats makes it even more depressing,oh अभी याद आया कि 1940 क्यों इतना captivating था . यह WWII की शुरुआत थी इसलिए ... इसने ऐसे और भी depressing बना दिया,positive,oh अभी याद आया कि क्यों इतना captivating था यह wwii की शुरुआत थी इसलिए इसने ऐसे और भी depressing बना दिया,2
"The critics have given it a rave reviews , and it has a good chance at he oscars","aalochakon ने इसे rave reviews दिया है , और इसे एक अच्छा chance है oscars के लिए",positive,aalochakon ने इसे rave reviews दिया है और इसे एक अच्छा chance है oscars के लिए,2
"of course I havent ' caught on to what style nolan has , like michael bay and tim burton all have their styles","of course में nolan की style को समझ नहीं पाया , जैसे कि michael bay बाय और tim burton सभी की अपनी style है",neutral,of course में nolan की style को समझ नहीं पाया जैसे कि michael bay बाय और tim burton सभी की अपनी style है,1
True that,यह True बात है .,positive,यह true बात है,2
"I dont liike the actor in interstellar , that matthew guy . somesthing off about him","मैं interstellar के actor को पसंद नहीं करता हूं , that matthew guy . उसमें बारे में सोचूँ तो कुछ off लगता है .",neutral,मैं interstellar के actor को पसंद नहीं करता हूं that matthew guy उसमें बारे में सोचूँ तो कुछ off लगता है,1
"there Tom Hardy , Harry s tyles","यह Tom Hardy , Harry की style है .",neutral,यह tom hardy harry की style है,1
tom hardy a director ? when that happened ?,tom हार्दी एक director ? ये कब हुआ ?,neutral,tom हार्दी एक director ये कब हुआ,1
No the Actor,कोई Actor नहीं,neutral,कोई actor नहीं,1
yyep exactly is he good ?,"yep , exactly में वह अच्छा है ?",positive,yep exactly में वह अच्छा है,2
fwfwfwfw,fwfwfwfw,neutral,fwfwfwfw,1
hello ?,Hello ?,neutral,hello,1
hello,"हैलो , कैसे हो",neutral,हैलो कैसे हो,1
I know a movie you may like,मुझे एक movie ज्ञात हैं जो तुम शायद like करो,neutral,मुझे एक movie ज्ञात हैं जो तुम शायद like करो,1
What's the movie about ?,movie का subject क्या है ?,neutral,movie का subject क्या है,1
It's actually sort of a musical,"यह actually , एक तरह से musical है",neutral,यह actually एक तरह से musical है,1
That's great ! I love musicals . Are there any big name actors in the movie ?,यह to great news he ! me musical like करता हू.क्या movie में कोई big name वाले actor हैं ?,positive,यह to great news he me musical like करता हूक्या movie में कोई big name वाले actor हैं,2
Ryan Gosling,Ryan Gosling,neutral,ryan gosling,1
Nice ! It looks like the movie has pretty great ratings on Rotten Tomatoes and other review sites,ठीक ! मुझे लगता हैं कि इस movie का review तो बढ़िया निकली Rotton tomatoes और कुछ sites में भी,positive,ठीक मुझे लगता हैं कि इस movie का review तो बढ़िया निकली rotton tomatoes और कुछ sites में भी,2
It also has Emma Stone,इस में Emma stone भी हैं यार,neutral,इस में emma stone भी हैं यार,1
Do you think you would like the movie ?,क्या आप को इस movie को पसंद हैं ?,neutral,क्या आप को इस movie को पसंद हैं,1
I would love it .,मुझे तो पसंद हैं,positive,मुझे तो पसंद हैं,2
I think I would love it as well,मैं सोच रही थी कि मुझे तो इस movie बहुत पसंद आएगा,positive,मैं सोच रही थी कि मुझे तो इस movie बहुत पसंद आएगा,2
The critics love it .,वह critics तो बहुत पसंद हैं,positive,वह critics तो बहुत पसंद हैं,2
do you like dancing in movies ?,क्या आपको movies का dancing पसंद हैं,neutral,क्या आपको movies का dancing पसंद हैं,1
I do !,हाँ यार,neutral,हाँ यार,1
What do you think of the two key scenes ? Which one sounds more interesting to you ?,आप उस दो के scene के बारे में क्या सोचते हैं ? कौनसा वाली ज्यादा interesting हैं,positive,आप उस दो के scene के बारे में क्या सोचते हैं कौनसा वाली ज्यादा interesting हैं,2
I would like the first one just to see someone playing music soulfully,मैं चाहता हूँ कोई भी first person किसी को soulful music बजाते देखे,positive,मैं चाहता हूँ कोई भी first person किसी को soulful music बजाते देखे,2
I agree . I think that scene sounds interesting,I agree . मुझे लगता है वह scene interesting है,positive,i agree मुझे लगता है वह scene interesting है,2
I just saw it has John Legend in it,मैंने अभी देखा इसमें जों Legend हैं,neutral,मैंने अभी देखा इसमें जों legend हैं,1
"Isn't he , like , a legend or something ?","वय नहीं है , जैसे एक legend or something",neutral,वय नहीं है जैसे एक legend or something,1
Haha I think so !,hahah मुझे येसा लगता है,positive,hahah मुझे येसा लगता है,2
"I think the new scene , where Mia decides to write a one-woman play sounds cool","मुझे लगता है new scene , जहां मैं एक decide किया one-woman play write करने का सुनकर अच्छा लगा",positive,मुझे लगता है new scene जहां मैं एक decide किया onewoman play write करने का सुनकर अच्छा लगा,2
It's in LA .,यह LA में है,neutral,यह la में है,1
I do like the setting,मुझे setting पसंद है,neutral,मुझे setting पसंद है,1
She does sound like a cool character,वय भी एक cool character जैसी लगती है,positive,वय भी एक cool character जैसी लगती है,2
I'm more of a New York person myself,मैं खुद New York person हो,positive,मैं खुद new york person हो,2
They both sound interesting . New York is a great place as well !,वह दोनों दिलचस्प लगते हैं.नव York एक अच्छा जगह है .,positive,वह दोनों दिलचस्प लगते हैंनव york एक अच्छा जगह है,2
LA is so flat isn't it ?,LA एक flat जगह है ना ?,neutral,la एक flat जगह है ना,1
And all that nasty stuff in the news about Hollywood,hollywood की बुरी news इधर से आती है,negative,hollywood की बुरी news इधर से आती है,0
"Yeah , it is . And expensive !",सही है . बहुत महंगा है,negative,सही है बहुत महंगा है,0
The warm climate is appealing though,मौसम बड़ी अछि है,positive,मौसम बड़ी अछि है,2
Do you like jazz ?,आप को jazz अच्छा लगता है ?,neutral,आप को jazz अच्छा लगता है,1
"I can appreciate jazz , but it's not one of my favorite genres . Do you ?","my jazz की सराहना कर सकता हूँ , पर यह मेरी पसंदीदा शैलियों में से नहीं हैं.क्या आप को है ?",positive,my jazz की सराहना कर सकता हूँ पर यह मेरी पसंदीदा शैलियों में से नहीं हैंक्या आप को है,2
not my favorite either,मेरे भी पसंदीदा नहीं है,positive,मेरे भी पसंदीदा नहीं है,2
I prefer more forethought and craftsmanship in my music,मुझे sangeet में pure vivek और काला अच्छा लगता है,positive,मुझे sangeet में pure vivek और काला अच्छा लगता है,2
improv doesn't suit me,improve मुझे अच्छा नहीं लगता,neutral,improve मुझे अच्छा नहीं लगता,1
I agree with that . I do appreciate that a contemporary movie is bringing jazz into it . Jazz isn't usually found in mainstream movies,मैं इस से सहमत हूँ . मैं कद्र करता हूँ की एक नई film उसमें jazz ला रही है . Jazz ज्यादातर mainstream movies में पाया नहीं जाता,neutral,मैं इस से सहमत हूँ मैं कद्र करता हूँ की एक नई film उसमें jazz ला रही है jazz ज्यादातर mainstream movies में पाया नहीं जाता,1
gotta go . peace .,जाना पड़ेगा . शांति,neutral,जाना पड़ेगा शांति,1
Hello,hello,neutral,hello,1
Hello,hello,neutral,hello,1
Are familiar with the movie The notebook ?,क्या तुम थे Notebook movie से familiar हो ?,positive,क्या तुम थे notebook movie से familiar हो,2
I have heard about it but have not seen it,मैं उसके बारे में सुना है but देखा नहीं है,neutral,मैं उसके बारे में सुना है but देखा नहीं है,1
What is it about ?,किस बारे में है ?,neutral,किस बारे में है,1
Its a romance movie based on the 1996 novel with the same title by Nicholas Sparks,वह एक romance movie है जो 1996 के same नाम के novel के ऊपर बसे है जिसे Nicholas Sparks ने लिखा है,neutral,वह एक romance movie है जो के same नाम के novel के ऊपर बसे है जिसे nicholas sparks ने लिखा है,1
Who are some of the actors in the film ?,Us movie में कुछ actors कौन हैं ?,neutral,us movie में कुछ actors कौन हैं,1
Ryan Gosling as the main actor and Rachel McAdams,Ryan Gosling तो मैं actor हैं और Rachel Mcadams भी,positive,ryan gosling तो मैं actor हैं और rachel mcadams भी,2
"Interesting . I'm a fan of his work , what are your thoughts on the movie ?","interesting हैं , मैं तो उसका work का बड़ी fan हूँ . इस movie का आपका thoughts क्या हैं",positive,interesting हैं मैं तो उसका work का बड़ी fan हूँ इस movie का आपका thoughts क्या हैं,2
I actually cried when I first watch it . It is awesome . Got 52 percent in rotten tomatoes but I will give it a 100,"मैं तो रो रही थी जब मैं पहली बार इस movie को देख , . यह तो awesome हैं , . में 52 % rotten tomatoes को देवूंगी लेकिन में 100 दे दिया",positive,मैं तो रो रही थी जब मैं पहली बार इस movie को देख यह तो awesome हैं में rotten tomatoes को देवूंगी लेकिन में दे दिया,2
Really ? Would you say it resembles the book well ?,अच्छा ? kya book से ये काफी resembles करता ?,positive,अच्छा kya book से ये काफी resembles करता,2
"There are some changes but pretty much . I only care about the ending anyway . Ryan Gosling play as Noah in the movie , he is poor while Allie is from a rich family and she is engage with someone else but fell in love with Noah","इसमें तो काफी changes हैं जो मुझे पसंद हैं . में end का ही करें कर रहा था , ryan gosling नेह तो noah का play अछे किया , वह पुर हैं लेकिन allie rich family की थी उसका engage दूसरा के साथ हुवा लेकिन वो noah को प्यार कर रही थी",positive,इसमें तो काफी changes हैं जो मुझे पसंद हैं में end का ही करें कर रहा था ryan gosling नेह तो noah का play अछे किया वह पुर हैं लेकिन allie rich family की थी उसका engage दूसरा के साथ हुवा लेकिन वो noah को प्यार कर रही थी,2
Oh wow that seems really interesting . I will have to check it out for sure . Do you know if its available on netflix ?,"अच्छा तो काफी में यह interesting रहेगा . में कुछ check करता हूँ , क्या netflix में हैं ?",positive,अच्छा तो काफी में यह interesting रहेगा में कुछ check करता हूँ क्या netflix में हैं,2
Hmm not sure . It was released year 2004 so it probably is,"मुझे पता नहीं , यह 2004 में release हुवे हैं",negative,मुझे पता नहीं यह में release हुवे हैं,0
"Ahhh okay , So based on what you know about the movie are their cheesy or cliche elements portrayed in the film ?","अच्छा तो और कुछ इस movie के बारे में आपको पता हैं , यानी उस cheesy और cliche elements का portrayed के बारे में",neutral,अच्छा तो और कुछ इस movie के बारे में आपको पता हैं यानी उस cheesy और cliche elements का portrayed के बारे में,1
